Electricity,ID #
Cheyenne Light Fuel & Power Co,3461
"Chickasaw Electric Coop, Inc",40166
Chillicothe Municipal Utils,3486
Chimney Rock Public Power Dist,3495
Chippewa Valley Electric Coop,3498
Chitina Electric Inc,3465
Choctaw Electric Coop Inc,3527
"Choctawhatche Elec Coop, Inc",3502
"Choptank Electric Coop, Inc",3503
Chugach Electric Assn Inc,3522
Cimarron Electric Coop,3478
"CinCap IV, LLC",3575
CinCap V LLC,3539
"Cinergy Capital & Trading, Inc",3559
Cirro Corporation,3579
Citizens Electric Co,3597
Citizens Electric Corporation,3600
City & Borough of Sitka (Utility Company),17271
City & County of San Francisco (Utility Company),16612
City Utilities of Springfield,17833
City Water and Light Plant,9879
"City of Abbeville, Louisiana (Utility Company)",59
"City of Abbeville, South Carolina (Utility Company)",34
"City of Aberdeen, Mississippi (Utility Company)",55
"City of Acworth, Georgia (Utility Company)",308
"City of Ada, Minnesota (Utility Company)",87
"City of Adel, Georgia (Utility Company)",123
"City of Afton, Iowa (Utility Company)",149
"City of Akron, Iowa (Utility Company)",182
"City of Akutan, Alaska (Utility Company)",24486
"City of Alachua, Florida (Utility Company)",201
"City of Alameda, California (Utility Company)",207
"City of Albany, Illinois (Utility Company)",229
"City of Albany, Missouri (Utility Company)",228
"City of Albemarle, North Carolina (Utility Company)",232
"City of Albion, Idaho (Utility Company)",244
"City of Alcoa Utilities, Tennessee",577
"City of Alexander City, Alabama (Utility Company)",289
"City of Alexandria, Louisiana (Utility Company)",298
"City of Alexandria, Minnesota (Utility Company)",295
"City of Algona, Iowa (Utility Company)",309
"City of Allendale, Illinois (Utility Company)",366
"City of Alliance, Nebraska (Utility Company)",367
"City of Alma, Kansas (Utility Company)",385
"City of Alpha, Minnesota (Utility Company)",266
"City of Alta Vista, Iowa (Utility Company)",432
"City of Alta, Iowa (Utility Company)",405
"City of Altamont, Illinois (Utility Company)",406
"City of Altamont, Kansas (Utility Company)",408
"City of Alton, Iowa (Utility Company)",198
"City of Altus, Oklahoma (Utility Company)",416
"City of Alvarado, Minnesota (Utility Company)",482
"City of Ames, Iowa (Utility Company)",554
"City of Amherst, Ohio (Utility Company)",560
"City of Amory, Mississippi (Utility Company)",571
"City of Anaheim, California (Utility Company)",590
"City of Andalusia, Alabama (Utility Company)",604
"City of Anderson, Indiana (Utility Company)",636
"City of Anita, Iowa (Utility Company)",682
"City of Anoka, Minnesota (Utility Company)",691
"City of Ansley, Nebraska (Utility Company)",695
"City of Anthon, Iowa (Utility Company)",700
"City of Anthony, Kansas (Utility Company)",701
"City of Aplington, Iowa (Utility Company)",723
"City of Arapahoe, Nebraska (Utility Company)",752
"City of Arcadia, Kansas (Utility Company)",764
"City of Arcadia, Wisconsin (Utility Company)",765
"City of Arcanum, Ohio (Utility Company)",768
"City of Argyle, Wisconsin (Utility Company)",792
"City of Arlington, Minnesota (Utility Company)",828
"City of Arlington, South Dakota (Utility Company)",831
"City of Arma, Kansas (Utility Company)",832
"City of Ashland, Kansas (Utility Company)",911
"City of Ashland, Oregon (Utility Company)",907
"City of Aspen, Colorado (Utility Company)",918
"City of Athens, Alabama (Utility Company)",944
"City of Atka, Alaska (Utility Company)",56256
"City of Attica, Kansas (Utility Company)",989
"City of Auburn, Indiana (Utility Company)",994
"City of Auburn, Iowa (Utility Company)",995
"City of Augusta, Arkansas (Utility Company)",1000
"City of Augusta, Kansas (Utility Company)",998
"City of Aurelia, Iowa (Utility Company)",1002
"City of Aurora, South Dakota (Utility Company)",1004
"City of Austin, Minnesota (Utility Company)",1009
"City of Ava, Missouri (Utility Company)",1024
"City of Axtell, Kansas (Utility Company)",1033
"City of Aztec, New Mexico (Utility Company)",1046
"City of Azusa, California (Utility Company)",1050
"City of Badger, South Dakota (Utility Company)",1080
"City of Baldwin City, Kansas (Utility Company)",1148
"City of Bandon, Oregon (Utility Company)",1176
"City of Bangor, Wisconsin (Utility Company)",1181
"City of Banning, California (Utility Company)",1192
"City of Bardstown, Kentucky (Utility Company)",690
"City of Bardwell, Kentucky (Utility Company)",1205
"City of Barnesville, Georgia (Utility Company)",1232
"City of Barnesville, Minnesota (Utility Company)",1233
"City of Barron, Wisconsin (Utility Company)",1278
"City of Bartlett, Texas (Utility Company)",1287
"City of Bartow, Florida (Utility Company)",1300
"City of Bastrop, Texas (Utility Company)",1324
"City of Batavia, Illinois (Utility Company)",1325
"City of Battle Creek, Nebraska (Utility Company)",1346
"City of Baudette, Minnesota (Utility Company)",1353
"City of Bay City, Michigan (Utility Company)",1366
"City of Bayard, Nebraska (Utility Company)",1374
"City of Beatrice, Nebraska (Utility Company)",1427
"City of Beaver City, Nebraska (Utility Company)",1435
"City of Bedford, Virginia (Utility Company)",1456
"City of Belleville, Kansas (Utility Company)",1512
"City of Bellevue, Iowa (Utility Company)",1515
"City of Bellville, Texas (Utility Company)",1519
"City of Beloit, Kansas (Utility Company)",1525
"City of Benham, Kentucky (Utility Company)",1387
"City of Benkelman, Nebraska (Utility Company)",1554
