,county_name,state_id,Electricity
141,Barceloneta,PR,{'Puerto Rico Electric Pwr Authority'}
142,Barnes,ND,"{'WAPA-- Western Area Power Administration', 'Otter Tail Power Co', 'Cass County Elec Coop Inc', 'Northern Plains Electric Coop', 'City of Valley City'}"
143,Barnstable,MA,"{'NSTAR Electric Company', 'Nantucket Electric Co'}"
144,Barnwell,SC,"{'South Carolina Electric&Gas Company', 'Aiken Electric Coop Inc', 'Edisto Electric Coop, Inc'}"
145,Barranquitas,PR,{'Puerto Rico Electric Pwr Authority'}
146,Barren,KY,"{'City of Glasgow - (KY)', 'Kentucky Utilities Co', 'East Kentucky Power Coop, Inc', 'Tri-County Elec Member Corp', 'Warren Rural Elec Coop Corp', 'Farmers Rural Electric Coop Corp - (KY)'}"
147,Barron,WI,"{'City of Cumberland - (WI)', 'Chippewa Valley Electric Coop', 'Dunn County Electric Coop', 'Rice Lake Utilities', 'Barron Electric Coop', 'Northern States Power Co', 'City of Barron - (WI)', 'Polk-Burnett Electric Coop', 'North Central Power Co Inc', 'Jump River Electric Coop Inc'}"
148,Barrow,GA,"{'Georgia Power Co', 'Jackson Electric Member Corp - (GA)', 'Walton Electric Member Corp'}"
149,Barry,MI,"{'Wolverine Power Supply Coop', 'Tri-County Electric Coop', 'Consumers Energy Co', 'Great Lakes Energy Coop'}"
150,Barry,MO,"{'Ozark Electric Coop Inc - (MO)', 'City of Monett - (MO)', 'Empire District Electric Co', 'Carroll Electric Coop Corp - (AR)', 'New-Mac Electric Coop, Inc', 'Barry Electric Coop'}"
151,Bartholomew,IN,"{'Duke Energy Indiana, LLC', 'Decatur County Rural E M C', 'Indianapolis Power & Light Co', 'RushShelby Energy', 'Edinburgh Municipal Utilities', 'Bartholomew County Rural E M C', 'Jackson County Rural E M C - (IN)'}"
152,Barton,KS,"{'Wheatland Electric Coop, Inc', 'Midwest Energy Inc', 'City of Hoisington - (KS)', 'Rolling Hills Electric Coop', 'Western Coop Electric Assn Inc', 'City of Ellinwood - (KS)', 'Ark Valley Elec Coop Assn, Inc'}"
153,Barton,MO,"{'KCP&L Greater Missouri Operations Co.', 'City of Lamar - (MO)', 'City of Liberal - (MO)', 'Sac-Osage Electric Coop Inc', 'Empire District Electric Co', 'City of Mindenmines - (MO)', 'Barton County Elec Coop, Inc'}"
154,Bartow,GA,"{'Amicalola Electric Member Corp', 'GreyStone Power Corporation', 'Cobb Electric Membership Corp', 'City of Acworth - (GA)', 'City of Cartersville - (GA)', 'Georgia Power Co'}"
155,Bastrop,TX,"{'City of Smithville - (TX)', 'Bluebonnet Electric Coop, Inc', 'City of Bastrop - (TX)', 'Fayette Electric Coop, Inc', 'Oncor Electric Delivery Company LLC'}"
156,Bates,MO,"{'KCP&L Greater Missouri Operations Co.', 'City of Rich Hill - (MO)', 'Osage Valley Elec Coop Assn', 'Kansas City Power & Light Co', 'City of Butler - (MO)'}"
157,Bath,KY,"{'Fleming-Mason Energy Coop Inc', 'East Kentucky Power Coop, Inc', 'Kentucky Utilities Co', 'Clark Energy Coop Inc - (KY)'}"
158,Bath,VA,"{'Virginia Electric & Power Co', 'BARC Electric Coop Inc'}"
159,Baxter,AR,"{'North Arkansas Elec Coop, Inc', 'Entergy Arkansas Inc'}"
160,Bay,FL,"{'Duke Energy Florida, LLC', 'Gulf Coast Electric Coop, Inc', 'Gulf Power Co'}"
161,Bay,MI,"{'DTE Electric Company', 'Consumers Energy Co', 'City of Bay City - (MI)'}"
162,Bayamon,PR,{'Puerto Rico Electric Pwr Authority'}
163,Bayfield,WI,"{'Dahlberg Light & Power Co', 'Northern States Power Co', 'Bayfield Electric Coop, Inc'}"
164,Baylor,TX,"{'City of Seymour - (TX)', 'Texas-New Mexico Power Co', 'Tri-County Electric Coop, Inc', 'AEP Texas North Company', 'Oncor Electric Delivery Company LLC', 'Southwest Rural Elec Assn Inc'}"
165,Beadle,SD,"{'WAPA-- Western Area Power Administration', 'Northern Electric Coop, Inc', 'Kingsbury Electric Coop, Inc', 'Codington-Clark Elec Coop, Inc', 'NorthWestern Energy - (SD)', 'Dakota Energy Coop Inc'}"
166,Bear Lake,ID,{'PacifiCorp'}
167,Beaufort,NC,"{'City of Washington - (NC)', 'Town of Belhaven - (NC)', 'Edgecombe-Martin County E M C', 'Virginia Electric & Power Co', 'Tideland Electric Member Corp', 'Duke Energy Progress - (NC)'}"
168,Beaufort,SC,"{'South Carolina Electric&Gas Company', 'Palmetto Electric Coop Inc'}"
169,Beauregard,LA,"{'Cleco Power LLC', 'Entergy Louisiana LLC', 'Beauregard Electric Coop, Inc'}"
170,Beaver,OK,"{'Tri-County Electric Coop, Inc', 'Northwestern Electric Coop Inc - (OK)', 'Oklahoma Gas & Electric Co'}"
171,Beaver,PA,"{'Borough of Ellwood City - (PA)', 'Duquesne Light Co', 'Pennsylvania Power Co'}"
172,Beaver,UT,"{'Beaver City Corporation', 'PacifiCorp'}"
173,Beaverhead,MT,"{'NorthWestern Energy LLC - (MT)', 'Vigilante Electric Coop, Inc'}"
174,Becker,MN,"{'Wild Rice Electric Coop, Inc', 'Todd-Wadena Electric Coop', 'City of Lake Park - (MN)', 'Itasca-Mantrap Co-op Electrical Assn', 'City of Detroit Lakes - (MN)', 'Otter Tail Power Co', 'Lake Region Electric Cooperative - (MN)'}"
175,Beckham,OK,"{'Northfork Electric Coop, Inc', 'Public Service Co of Oklahoma', 'Oklahoma Gas & Electric Co'}"
176,Bedford,PA,"{'West Penn Power Company', 'Pennsylvania Electric Co', 'Valley Rural Electric Coop Inc', 'Bedford Rural Elec Coop, Inc', 'Somerset Rural Elec Coop, Inc', 'New Enterprise R E C, Inc'}"
177,Bedford,TN,"{'Duck River Elec Member Corp', 'City of Shelbyville - (TN)'}"
178,Bedford,VA,"{'Appalachian Power Co', 'Virginia Electric & Power Co', 'Southside Electric Coop, Inc', 'Town of Bedford - (VA)'}"
179,Bedford City,VA,{'Virginia Electric & Power Co'}
180,Bee,TX,"{'San Patricio Electric Coop Inc', 'AEP Texas Central Company', 'Karnes Electric Coop Inc'}"
181,Belknap,NH,"{'New Hampshire Elec Coop Inc', 'Town of Wolfeboro - (NH)', 'Public Service Co of NH', 'New Hampton Village Precinct'}"
182,Bell,KY,"{'Kentucky Utilities Co', 'Cumberland Valley Electric, Inc.'}"
183,Bell,TX,"{'Pedernales Electric Coop, Inc', 'City of Bartlett - (TX)', 'Bartlett Electric Coop, Inc', 'Oncor Electric Delivery Company LLC', 'Heart of Texas Electric Coop'}"
184,Belmont,OH,"{'Ohio Power Co', 'South Central Power Company', 'City of St Clairsville - (OH)'}"
185,Beltrami,MN,"{'Roseau Electric Coop, Inc', 'Otter Tail Power Co', 'North Itasca Electric Coop Inc', 'Clearwater-Polk Elec Coop Inc', 'Beltrami Electric Coop, Inc', 'Red Lake Electric Coop, Inc'}"
186,Ben Hill,GA,"{'Satilla Rural Elec Member Corporation', 'Middle Georgia El Member Corp', 'Irwin Electric Membership Corp', 'Georgia Power Co', 'Fitzgerald Wtr Lgt & Bond Comm'}"
187,Benewah,ID,"{'City of Plummer - (ID)', 'Kootenai Electric Cooperative', 'Inland Power & Light Company', 'Avista Corp', 'Clearwater Power Company'}"
188,Bennett,SD,"{'LaCreek Electric Assn, Inc', 'WAPA-- Western Area Power Administration'}"
189,Bennington,VT,{'Green Mountain Power Corp'}
190,Benson,ND,"{'City of Maddock - (ND)', 'WAPA-- Western Area Power Administration', 'Otter Tail Power Co', 'Northern Plains Electric Coop', 'Nodak Electric Coop Inc'}"
191,Bent,CO,"{'City of Lamar - (CO)', 'Southeast Colorado Power Assn', 'Public Service Co of Colorado', 'City of Las Animas - (CO)'}"
192,Benton,AR,"{'Southwestern Electric Power Co', 'City of Bentonville - (AR)', 'Empire District Electric Co', 'City of Siloam Springs - (AR)', 'Carroll Electric Coop Corp - (AR)', 'Ozarks Electric Coop Corp - (AR)'}"
193,Benton,IA,"{'City of Traer - (IA)', 'Interstate Power and Light Co', 'Linn County REC', 'T I P Rural Electric Coop', 'East-Central Iowa Rural Elec Coop', 'City of Vinton - (IA)'}"
